Subject,Run_Rate,Smoothed_Target,Max_Capacity,Gap_Pct,Raw_Gap,Coverage_Pct,Needs_External_Levers,BTS_Total,Is_Adjusted,Adjusted_Months,Original_Model_Total,Apr_Original,May_Original,Jun_Original,Jul_Original,Aug_Original,Sep_Original,Oct_Original,Apr_Smoothed,May_Smoothed,Jun_Smoothed,Jul_Smoothed,Aug_Smoothed,Sep_Smoothed,Oct_Smoothed,Apr_ManualOverride,May_ManualOverride,Jun_ManualOverride,Jul_ManualOverride,Aug_ManualOverride,Sep_ManualOverride,Oct_ManualOverride,Mar_Actual,Mar_Forecast,Total_Contracted,Utilized_30d,Util_Rate,Util_Rate_Current,Util_Rate_Trailing,Util_Trend,Util_Trend_Delta,Util_Recent_Contracted,Util_Recent_Utilized,P90_NAT_Hours,Problem_Type,Category,Tier
Middle School Math,103.0,35,124.0,-66.0,473.0,291,False,248.0,True,['Apr'],248.0,39.0,27.0,24.0,26.0,34.0,45.0,53.0,39.0,27.0,24.0,26.0,34.0,45.0,53.0,39.0,,,,,,,,61.0,3325.0,2524.0,56.0,56.1,76.8,down,-20.7,139.0,78.0,26.188327,On Track,Middle School,CORE
High School Chemistry,18.0,39,22.0,115.0,-145.0,46,True,271.0,True,['Apr'],268.0,33.0,32.0,31.0,34.0,40.0,47.0,51.0,36.0,32.0,33.0,32.0,46.0,46.0,46.0,36.0,,,,,,,14.0,28.0,755.0,597.0,54.0,54.2,79.9,down,-25.7,24.0,13.0,27.71833,True Supply Problem,High School,CORE
Elementary School Math,131.0,24,157.0,-82.0,749.0,546,False,168.0,True,['Apr'],132.0,27.0,12.0,8.0,8.0,16.0,26.0,35.0,63.0,12.0,8.0,8.0,16.0,26.0,35.0,63.0,,,,,,,,57.0,4143.0,3097.0,50.0,50.3,75.8,down,-25.5,175.0,88.0,28.08333,On Track,Elementary,CORE
SAT,11.0,36,13.0,229.0,-176.0,30,True,253.0,True,['Apr'],252.0,27.0,26.0,30.0,36.0,42.0,45.0,46.0,28.0,30.0,32.0,30.0,44.0,45.0,44.0,28.0,,,,,,,15.0,33.0,662.0,560.0,81.0,80.6,84.8,down,-4.1,31.0,25.0,38.78333,True Supply Problem,Test Prep,CORE
Pre-Calculus,31.0,28,37.0,-9.0,19.0,110,False,198.0,True,['Apr'],195.0,23.0,21.0,18.0,20.0,28.0,39.0,46.0,26.0,21.0,18.0,20.0,37.0,39.0,37.0,26.0,,,,,,,17.0,16.0,1425.0,1153.0,67.0,66.7,81.2,down,-14.6,30.0,20.0,37.15,On Track,High School,CORE
Elementary School Reading,113.0,25,136.0,-78.0,616.0,452,False,175.0,True,['Apr'],125.0,21.0,9.0,5.0,5.0,15.0,29.0,41.0,71.0,9.0,5.0,5.0,15.0,29.0,41.0,71.0,,,,,,,,38.0,2990.0,2138.0,42.0,41.7,72.8,down,-31.1,120.0,50.0,31.65,Under-Used,Elementary,CORE
Algebra 2,38.0,24,46.0,-37.0,99.0,159,False,167.0,True,['Apr'],156.0,18.0,12.0,9.0,11.0,22.0,36.0,48.0,29.0,12.0,9.0,11.0,35.0,36.0,35.0,29.0,,,,,,,28.0,15.0,1482.0,1176.0,66.0,66.0,79.8,down,-13.8,50.0,33.0,38.51666,On Track,High School,CORE
Algebra,63.0,18,76.0,-72.0,316.0,353,False,125.0,True,['Apr'],110.0,17.0,6.0,3.0,5.0,15.0,27.0,37.0,32.0,6.0,3.0,5.0,15.0,27.0,37.0,32.0,,,,,,,,30.0,2538.0,2015.0,56.0,55.8,80.2,down,-24.4,86.0,48.0,26.239997,On Track,High School,HIGH
AP Biology,23.0,17,28.0,-24.0,39.0,132,False,122.0,True,['Apr'],121.0,15.0,14.0,14.0,15.0,18.0,21.0,24.0,16.0,14.0,14.0,15.0,21.0,21.0,21.0,16.0,,,,,,,13.0,7.0,618.0,470.0,62.0,61.5,76.7,down,-15.2,26.0,16.0,38.29,On Track,AP,HIGH
College Accounting,7.0,16,8.0,127.0,-62.0,44,True,111.0,True,['Apr'],121.0,15.0,16.0,17.0,18.0,19.0,18.0,18.0,5.0,17.0,17.0,17.0,18.0,19.0,18.0,5.0,,,,,,,5.0,9.0,166.0,128.0,33.0,33.3,79.6,down,-46.3,9.0,3.0,26.81666,Under-Used,College,HIGH
